collapse_rate,collapse_sigma,collapse_amplitude,noise_amplitude,density_decay,relativistic_factor,slope
0.1,0.1,0.5,0.005,0.99,0.0,-3.344116379318266
0.1,0.1,0.5,0.005,0.99,0.01,-3.7311231060954304
0.1,0.1,0.5,0.005,0.95,0.0,-3.9159461310410606
0.1,0.1,0.5,0.005,0.95,0.01,-3.3867138258569836
0.1,0.1,0.5,0.01,0.99,0.0,-3.7465834549656956
0.1,0.1,0.5,0.01,0.99,0.01,-3.5160367881571113
0.1,0.1,0.5,0.01,0.95,0.0,-3.664382626821223
0.1,0.1,0.5,0.01,0.95,0.01,-3.855198120111218
0.1,0.1,1.0,0.005,0.99,0.0,-3.7840644698240564
0.1,0.1,1.0,0.005,0.99,0.01,-3.4268855821832473
0.1,0.1,1.0,0.005,0.95,0.0,-3.700484313400824
0.1,0.1,1.0,0.005,0.95,0.01,-3.2888381847043795
0.1,0.1,1.0,0.01,0.99,0.0,-3.604651338122493
0.1,0.1,1.0,0.01,0.99,0.01,-3.5576867309339786
0.1,0.1,1.0,0.01,0.95,0.0,-3.7880153762212587
0.1,0.1,1.0,0.01,0.95,0.01,-3.9090283023787253
0.1,0.2,0.5,0.005,0.99,0.0,-3.797321828020491
0.1,0.2,0.5,0.005,0.99,0.01,-3.399189859971382
0.1,0.2,0.5,0.005,0.95,0.0,-3.7232312893060926
0.1,0.2,0.5,0.005,0.95,0.01,-3.467764580260246
0.1,0.2,0.5,0.01,0.99,0.0,-3.4035095931318136
0.1,0.2,0.5,0.01,0.99,0.01,-3.698202247857211
0.1,0.2,0.5,0.01,0.95,0.0,-3.5423685334790513
0.1,0.2,0.5,0.01,0.95,0.01,-3.4251859040877153
0.1,0.2,1.0,0.005,0.99,0.0,-3.6369671750630284
0.1,0.2,1.0,0.005,0.99,0.01,-3.700168096597274
0.1,0.2,1.0,0.005,0.95,0.0,-3.7279811031294177
0.1,0.2,1.0,0.005,0.95,0.01,-3.6495964768153297
