collapse_rate,collapse_sigma,collapse_amplitude,noise_amplitude,density_decay,relativistic_factor,slope
0.1,0.1,0.5,0.005,0.99,0.0,-3.401618109294414
0.1,0.1,0.5,0.005,0.99,0.01,-4.693480050253506
0.1,0.1,0.5,0.005,0.95,0.0,-4.884541956309113
0.1,0.1,0.5,0.005,0.95,0.01,-4.529237038393233
0.1,0.1,0.5,0.01,0.99,0.0,-4.904045771004632
0.1,0.1,0.5,0.01,0.99,0.01,-3.819414478622308
0.1,0.1,0.5,0.01,0.95,0.0,-4.346629619696893
0.1,0.1,0.5,0.01,0.95,0.01,-4.8330274556234825
0.1,0.1,1.0,0.005,0.99,0.0,-4.714871767385992
0.1,0.1,1.0,0.005,0.99,0.01,-4.560580929988667
0.1,0.1,1.0,0.005,0.95,0.0,-3.2066210740671397
0.1,0.1,1.0,0.005,0.95,0.01,-3.080634820544705
0.1,0.1,1.0,0.01,0.99,0.0,-3.6541504569933383
0.1,0.1,1.0,0.01,0.99,0.01,-4.106756193523539
0.1,0.1,1.0,0.01,0.95,0.0,-2.986237301431471
0.1,0.1,1.0,0.01,0.95,0.01,-5.567718827650089
0.1,0.2,0.5,0.005,0.99,0.0,-6.68681730633798
0.1,0.2,0.5,0.005,0.99,0.01,-5.7133442910365355
0.1,0.2,0.5,0.005,0.95,0.0,-6.558335819385517
0.1,0.2,0.5,0.005,0.95,0.01,-6.763375920959218
0.1,0.2,0.5,0.01,0.99,0.0,-4.6255922908299825
0.1,0.2,0.5,0.01,0.99,0.01,-6.614437432127269
0.1,0.2,0.5,0.01,0.95,0.0,-5.375426444901641
0.1,0.2,0.5,0.01,0.95,0.01,-5.640283622350019
0.1,0.2,1.0,0.005,0.99,0.0,-4.835028887029578
0.1,0.2,1.0,0.005,0.99,0.01,-6.864832357693944
0.1,0.2,1.0,0.005,0.95,0.0,-4.825788327161294
0.1,0.2,1.0,0.005,0.95,0.01,-7.0612419757316465
0.1,0.2,1.0,0.01,0.99,0.0,-4.843340404844309
0.1,0.2,1.0,0.01,0.99,0.01,-5.374905728231401
0.1,0.2,1.0,0.01,0.95,0.0,-5.478537619541414
0.1,0.2,1.0,0.01,0.95,0.01,-5.0284498040383685
0.3,0.1,0.5,0.005,0.99,0.0,-3.5632789909315417
0.3,0.1,0.5,0.005,0.99,0.01,-2.8551448166276296
0.3,0.1,0.5,0.005,0.95,0.0,-4.362394592856432
0.3,0.1,0.5,0.005,0.95,0.01,-3.7038836035327787
0.3,0.1,0.5,0.01,0.99,0.0,-5.020525679861075
0.3,0.1,0.5,0.01,0.99,0.01,-3.3317264180927864
0.3,0.1,0.5,0.01,0.95,0.0,-3.2073152423045834
0.3,0.1,0.5,0.01,0.95,0.01,-4.426491935859471
0.3,0.1,1.0,0.005,0.99,0.0,-3.947456865031945
0.3,0.1,1.0,0.005,0.99,0.01,-3.6143418153922835
