Cycle,Radial Frequency Bin,Power
1,0,4923560.765033845
1,1,2259644.404051961
1,2,421984.3095883746
1,3,79322.64906997095
1,4,31006.566449010035
1,5,13442.357210737788
1,6,5806.698164086302
1,7,2200.501957582319
1,8,1261.3701776743392
1,9,575.0143003134415
1,10,307.2039562154146
1,11,159.52170621144612
1,12,75.66009339672992
1,13,34.99724571308827
1,14,15.82591884315314
1,15,6.93220131599132
1,16,3.1473600064684217
1,17,1.6684524447446674
1,18,0.7965955322831628
1,19,0.37094853529200944
1,20,0.14273866826317425
1,21,0.06165345105054266
1,22,0.026824388621063712
1,23,0.013127862038354594
1,24,0.005530587802314382
1,25,0.0028216095171175494
1,26,0.0016119422711446051
1,27,0.0010517438476668412
1,28,0.0008185049212564117
1,29,0.0006228368716079633
1,30,0.0005498006038853688
1,31,0.0003942758962228516
1,32,0.0003316634540923868
1,33,0.0002825046239984686
1,34,0.00023236039285629592
1,35,0.00020334849969307666
1,36,0.0001502866915892239
1,37,0.00013408686883706382
1,38,0.00011166586741120463
1,39,0.00010249581021657642
1,40,8.047876344186704e-05
1,41,7.054400452214299e-05
1,42,6.573686114807049e-05
1,43,5.050292691151002e-05
1,44,4.551415814398943e-05
1,45,3.8694604664832045e-05
1,46,3.6100855944983236e-05
1,47,3.199933657576902e-05
1,48,2.5311922538353973e-05
1,49,2.4496409668558697e-05
1,50,2.0773384540081874e-05
1,51,1.9861021388838314e-05
1,52,1.7270529500220053e-05
1,53,1.4329896313245815e-05
1,54,1.4436494974833382e-05
1,55,1.211667223725218e-05
1,56,1.1674129454474884e-05
1,57,1.002257042141597e-05
1,58,8.896961199350305e-06
1,59,9.124663308451818e-06
1,60,7.692305069464923e-06
1,61,6.692446147472139e-06
1,62,6.445188273389498e-06
1,63,5.971640029732356e-06
1,64,1.3352134805372386e-06
1,65,1.3284740620813658e-07
1,66,2.8070082741644028e-08
1,67,1.6679262255269625e-08
1,68,1.5096977306169074e-08
1,69,1.4121860752616758e-08
1,70,1.2367348927774812e-08
1,71,1.1239206298278292e-08
1,72,9.99881499004803e-09
1,73,9.171159325344248e-09
1,74,8.297536865568594e-09
1,75,7.662569343028343e-09
1,76,7.094779639189772e-09
1,77,6.467912896835926e-09
1,78,6.072699772324245e-09
1,79,5.618123633238308e-09
1,80,5.242088461681376e-09
1,81,4.949664746015981e-09
1,82,4.61637468219421e-09
1,83,4.3652936514740845e-09
1,84,4.0829546360591385e-09
1,85,3.848521435595218e-09
1,86,3.66262622451616e-09
1,87,3.494131765141785e-09
1,88,3.334350538264222e-09
1,89,3.1900500436409173e-09
2,0,9908000.996003382
2,1,4379436.643307742
2,2,529870.448370638
2,3,166901.06913038855
2,4,68519.75099391857
2,5,44249.6649335105
2,6,19560.007336638613
2,7,10080.970533352862
2,8,4467.48950352773
2,9,2451.6067947865613
2,10,1464.0246802434156
2,11,710.2863927117401
2,12,381.94483910945075
2,13,175.35153215158647
2,14,88.84110643172811
2,15,43.025215929131654
2,16,21.87636529160503
2,17,12.829652416625116
2,18,5.750296458740407
2,19,2.048026739490256
2,20,0.9248805065329077
2,21,0.4223433256633192
2,22,0.19592737390270912
2,23,0.09514177851739347
2,24,0.044322768382941524
2,25,0.021060034810364794
2,26,0.010460742313676467
2,27,0.0063877788664243205
2,28,0.00418671427021486
2,29,0.0029331660594631628
2,30,0.002393435241969473
2,31,0.0016452050517517796
2,32,0.0013481371330042386
2,33,0.0011333454816581361
2,34,0.0009238403108271414
2,35,0.0008036669618973774
2,36,0.0005910181814606923
2,37,0.0005245097614664155
2,38,0.00043759201138508395
2,39,0.00040090939231080853
2,40,0.00031398431213770144
2,41,0.0002748964005440006
2,42,0.0002554034673288048
2,43,0.00019594142144640136
2,44,0.00017636619629726838
2,45,0.000150110089447305
2,46,0.00013997598237478962
2,47,0.0001239875961819779
2,48,9.798189980630302e-05
2,49,9.47086218404165e-05
2,50,8.034498252846168e-05
2,51,7.68175402035269e-05
2,52,6.661350211818197e-05
2,53,5.539579595730153e-05
2,54,5.5821940873937e-05
2,55,4.681683557745479e-05
2,56,4.5061522541992824e-05
2,57,3.8758121763358664e-05
2,58,3.4409448535887714e-05
2,59,3.531109504429621e-05
2,60,2.976818194854262e-05
2,61,2.5844507328360097e-05
2,62,2.496012799614634e-05
2,63,2.3142976541855165e-05
2,64,4.596196320543574e-06
2,65,3.533864160640193e-07
2,66,4.160615612144287e-08
2,67,6.320681350921044e-09
2,68,1.1347373375345149e-09
2,69,5.042705665454906e-10
2,70,3.859883020870052e-10
2,71,3.4244606532562527e-10
2,72,3.021803596013337e-10
2,73,2.7623516067615467e-10
2,74,2.488137934974467e-10
2,75,2.2918364154025252e-10
2,76,2.1179207689127303e-10
2,77,1.9241148028293867e-10
2,78,1.8051856289000865e-10
2,79,1.6665369112701367e-10
2,80,1.5533560113110882e-10
2,81,1.4651703858171095e-10
2,82,1.364732397509535e-10
2,83,1.2897161617389164e-10
2,84,1.205369243312135e-10
2,85,1.1356042782704624e-10
2,86,1.0806408382405955e-10
2,87,1.0304517342455318e-10
2,88,9.829314061755768e-11
2,89,9.397278801974297e-11
3,0,4727619.935037463
3,1,1856113.2642941794
3,2,488110.7464528328
3,3,122996.14812931458
3,4,46940.16629740701
3,5,21854.075084772456
3,6,10619.822048487948
3,7,5478.025627139602
3,8,2810.131151429059
3,9,1512.0760703943981
3,10,717.7765940934386
3,11,380.65277435287413
3,12,179.75095184953122
3,13,99.75363423352427
3,14,48.31304060149532
3,15,22.768524579046794
3,16,12.625926022797598
3,17,5.794567665444173
3,18,2.7524414631257574
3,19,1.200752308165183
3,20,0.48552094535972834
3,21,0.22322949152143615
3,22,0.09910038967730023
3,23,0.04984682537345141
3,24,0.02189233606722396
3,25,0.009970776049904378
3,26,0.005942582375558223
3,27,0.0036890497756545426
3,28,0.002801869115379716
3,29,0.0020996830735947997
3,30,0.0017551353620176985
3,31,0.0012644009805802489
3,32,0.0010438168237014698
3,33,0.0008810887563424621
3,34,0.0007186550972657171
3,35,0.0006239835581834327
3,36,0.0004575306518052584
3,37,0.0004088884964997068
3,38,0.00033670767569625714
3,39,0.0003077932949462456
3,40,0.00024064912816765808
3,41,0.00021013966236981452
3,42,0.00019791341262341954
3,43,0.00014878715026080583
3,44,0.00013337233919125439
3,45,0.00011359863407003345
3,46,0.00010573028946448891
3,47,9.347947529143536e-05
3,48,7.375142533666805e-05
3,49,7.115852954797495e-05
3,50,6.025467599033987e-05
3,51,5.7513335285482364e-05
3,52,4.988516504073391e-05
3,53,4.1335370291863723e-05
3,54,4.157716129891313e-05
3,55,3.484889514735142e-05
3,56,3.353470267660019e-05
3,57,2.872204727616717e-05
3,58,2.5460412929397615e-05
3,59,2.607992022522669e-05
3,60,2.1956519325792373e-05
3,61,1.909319915055034e-05
3,62,1.8347880771155075e-05
3,63,1.6984922274655608e-05
3,64,3.6483735742679417e-06
3,65,3.0275545119274977e-07
3,66,5.810767105428549e-08
3,67,3.467237203937601e-08
3,68,3.212397369715158e-08
3,69,3.011946917404481e-08
3,70,2.6343923131358008e-08
3,71,2.39250279242299e-08
3,72,2.13087280494303e-08
3,73,1.9549243441329176e-08
3,74,1.7699791472748986e-08
3,75,1.6348193173564675e-08
3,76,1.5137976678547137e-08
3,77,1.380829570295988e-08
3,78,1.296072325377972e-08
3,79,1.1991676317317622e-08
3,80,1.1188455124781155e-08
3,81,1.0562170754895776e-08
3,82,9.851012733605116e-09
3,83,9.312119661331776e-09
3,84,8.708375462721608e-09
3,85,8.206147869386345e-09
3,86,7.807947353392503e-09
3,87,7.446299353087839e-09
3,88,7.103851097783659e-09
3,89,6.794068238274261e-09
4,0,6513016.981359189
4,1,3343595.078423454
4,2,495317.4949717901
4,3,118304.8094830281
4,4,56097.448264573424
4,5,23303.433515634966
4,6,13249.10473337978
4,7,6209.054537536891
4,8,2912.7777337891243
4,9,1348.0290190047565
4,10,766.726809617383
4,11,421.0220076344584
4,12,213.52702055065095
4,13,99.73418485985913
4,14,52.66169957269403
4,15,25.014321892648336
4,16,14.428125049234007
4,17,6.993316710769893
4,18,4.006306445694996
4,19,1.6415800080464285
4,20,0.7308769156660317
4,21,0.30074943180346864
4,22,0.14990423389353186
4,23,0.07053401824238108
4,24,0.03442387663478391
4,25,0.019647754101185452
4,26,0.01291474198217243
4,27,0.008909663136137247
4,28,0.007010458401185412
4,29,0.0052593796345940125
4,30,0.004410929285113844
4,31,0.003047518340348033
4,32,0.0024788518953651945
4,33,0.002063867602148311
4,34,0.0016659909296320849
4,35,0.0014379168824580652
4,36,0.0010495077916687883
4,37,0.0009267910501905468
4,38,0.0007681172766227423
4,39,0.0007001220347018074
4,40,0.0005456420940405739
4,41,0.00047554212991160553
4,42,0.00044088838744060576
4,43,0.0003357456364676763
4,44,0.0003007089259654642
4,45,0.0002553927216355116
4,46,0.0002373308259149388
4,47,0.00020953178170490778
4,48,0.00016507087637236345
4,49,0.0001590466482897763
4,50,0.00013457124305163632
4,51,0.000128327217924745
4,52,0.00011098303526201522
4,53,9.208109735205186e-05
4,54,9.257665040015899e-05
4,55,7.746967073318458e-05
4,56,7.420154049178009e-05
4,57,6.388153020444367e-05
4,58,5.660573673810088e-05
4,59,5.7981888347272926e-05
4,60,4.879442682358004e-05
4,61,4.230063409038076e-05
4,62,4.077583378633195e-05
4,63,3.774955773620854e-05
4,64,7.269407581192774e-06
4,65,5.454341138674314e-07
4,66,6.687489520380086e-08
4,67,1.0663955655201861e-08
4,68,2.4454954543801845e-09
4,69,1.3116642006550378e-09
4,70,1.0496607274113962e-09
4,71,9.360543810278686e-10
4,72,8.213482305493361e-10
4,73,7.490931137500413e-10
4,74,6.727140140398563e-10
4,75,6.186823930188551e-10
4,76,5.709205658985152e-10
4,77,5.175729469753869e-10
4,78,4.853114223879365e-10
4,79,4.475574770275681e-10
4,80,4.167160149049236e-10
4,81,3.929530486412303e-10
4,82,3.6564327331176123e-10
4,83,3.455194902916967e-10
4,84,3.226803691661438e-10
4,85,3.038985594727119e-10
4,86,2.8903780644838473e-10
4,87,2.7565355229017414e-10
4,88,2.6294016556259654e-10
4,89,2.5150678128977715e-10
5,0,7833997.332298769
5,1,3393988.192954815
5,2,312733.92305612494
5,3,104439.63619796174
5,4,42150.70034783611
5,5,23270.926810551995
5,6,11219.3265859824
5,7,5282.953504093802
5,8,2044.279587148511
5,9,1250.5465663854159
5,10,721.8579593908507
5,11,394.62786238314527
5,12,181.57065922406295
5,13,90.27988003316217
5,14,44.213310380957694
5,15,23.39714879721366
5,16,11.11069996665841
5,17,5.821355097792507
