collapse_rate,collapse_sigma,collapse_amplitude,noise_amplitude,density_decay,relativistic_factor,slope
0.1,0.1,0.5,0.005,0.99,0.0,-3.490553666982698
0.1,0.1,0.5,0.005,0.99,0.01,-3.6263722445608852
0.1,0.1,0.5,0.005,0.95,0.0,-3.625480356553354
0.1,0.1,0.5,0.005,0.95,0.01,-3.4408174637777633
0.1,0.1,0.5,0.01,0.99,0.0,-3.684874908797019
0.1,0.1,0.5,0.01,0.99,0.01,-3.8450514402331897
0.1,0.1,0.5,0.01,0.95,0.0,-3.792890846255954
0.1,0.1,0.5,0.01,0.95,0.01,-3.6755203415829554
0.1,0.1,1.0,0.005,0.99,0.0,-3.9082331959669414
0.1,0.1,1.0,0.005,0.99,0.01,-3.3967548349330983
0.1,0.1,1.0,0.005,0.95,0.0,-3.446383720925744
0.1,0.1,1.0,0.005,0.95,0.01,-3.743438628619619
0.1,0.1,1.0,0.01,0.99,0.0,-3.4521527001299983
0.1,0.1,1.0,0.01,0.99,0.01,-3.21262743670632
0.1,0.1,1.0,0.01,0.95,0.0,-3.472902983890432
0.1,0.1,1.0,0.01,0.95,0.01,-3.5287487989902973
0.1,0.2,0.5,0.005,0.99,0.0,-3.5571999500729796
0.1,0.2,0.5,0.005,0.99,0.01,-3.599109659039047
0.1,0.2,0.5,0.005,0.95,0.0,-3.2817769967911623
0.1,0.2,0.5,0.005,0.95,0.01,-3.6353718459790283
0.1,0.2,0.5,0.01,0.99,0.0,-3.504607371759702
0.1,0.2,0.5,0.01,0.99,0.01,-3.0815690828935414
0.1,0.2,0.5,0.01,0.95,0.0,-3.7663960778870877
0.1,0.2,0.5,0.01,0.95,0.01,-3.6365348923002556
0.1,0.2,1.0,0.005,0.99,0.0,-3.4955611321795246
0.1,0.2,1.0,0.005,0.99,0.01,-3.4057751841507744
0.1,0.2,1.0,0.005,0.95,0.0,-3.5782066456289394
0.1,0.2,1.0,0.005,0.95,0.01,-3.4238425112866806
0.1,0.2,1.0,0.01,0.99,0.0,-3.706569317372773
0.1,0.2,1.0,0.01,0.99,0.01,-3.809046755994289
0.1,0.2,1.0,0.01,0.95,0.0,-3.496266163453584
0.1,0.2,1.0,0.01,0.95,0.01,-3.559439371195703
0.3,0.1,0.5,0.005,0.99,0.0,-3.8025055550089277
0.3,0.1,0.5,0.005,0.99,0.01,-3.6172542616047574
0.3,0.1,0.5,0.005,0.95,0.0,-3.7094295117625804
0.3,0.1,0.5,0.005,0.95,0.01,-3.6174730745185566
0.3,0.1,0.5,0.01,0.99,0.0,-3.2090777397220185
0.3,0.1,0.5,0.01,0.99,0.01,-3.303898393307885
0.3,0.1,0.5,0.01,0.95,0.0,-3.5627166229181175
0.3,0.1,0.5,0.01,0.95,0.01,-3.802753174943897
0.3,0.1,1.0,0.005,0.99,0.0,-3.383246580685364
0.3,0.1,1.0,0.005,0.99,0.01,-3.3281704555501146
0.3,0.1,1.0,0.005,0.95,0.0,-3.6819606265004
0.3,0.1,1.0,0.005,0.95,0.01,-3.6564007505375
0.3,0.1,1.0,0.01,0.99,0.0,-3.4476070282698728
0.3,0.1,1.0,0.01,0.99,0.01,-3.807532526941746
0.3,0.1,1.0,0.01,0.95,0.0,-3.473430431660054
0.3,0.1,1.0,0.01,0.95,0.01,-3.6284770110655504
0.3,0.2,0.5,0.005,0.99,0.0,-3.446583511313078
0.3,0.2,0.5,0.005,0.99,0.01,-3.7052748721691278
0.3,0.2,0.5,0.005,0.95,0.0,-3.601355603912384
0.3,0.2,0.5,0.005,0.95,0.01,-3.7203552949582614
0.3,0.2,0.5,0.01,0.99,0.0,-3.614088469260638
0.3,0.2,0.5,0.01,0.99,0.01,-3.9369000509542293
0.3,0.2,0.5,0.01,0.95,0.0,-3.4413897523029764
0.3,0.2,0.5,0.01,0.95,0.01,-3.897960703498097
0.3,0.2,1.0,0.005,0.99,0.0,-3.5258934339379415
0.3,0.2,1.0,0.005,0.99,0.01,-3.7453366210803756
0.3,0.2,1.0,0.005,0.95,0.0,-3.446385399236965
0.3,0.2,1.0,0.005,0.95,0.01,-3.3883629768981254
0.3,0.2,1.0,0.01,0.99,0.0,-3.8100099159625445
0.3,0.2,1.0,0.01,0.99,0.01,-3.886064211172552
0.3,0.2,1.0,0.01,0.95,0.0,-3.111949289601139
0.3,0.2,1.0,0.01,0.95,0.01,-3.085052118791132
0.5,0.1,0.5,0.005,0.99,0.0,-3.690573219985903
0.5,0.1,0.5,0.005,0.99,0.01,-3.7582887013219812
0.5,0.1,0.5,0.005,0.95,0.0,-3.6954415852697573
