collapse_rate,collapse_sigma,collapse_amplitude,noise_amplitude,density_decay,slope
0.1,0.1,0.5,0.005,0.99,-5.293929644244636
0.1,0.1,0.5,0.005,0.95,-3.06203338251291
0.1,0.1,0.5,0.01,0.99,-3.8123564959246057
0.1,0.1,0.5,0.01,0.95,-3.0922267432674855
0.1,0.1,1.0,0.005,0.99,-5.8075811928492795
0.1,0.1,1.0,0.005,0.95,-5.67622717124368
0.1,0.1,1.0,0.01,0.99,-3.880032217192306
0.1,0.1,1.0,0.01,0.95,-4.086718605382356
0.1,0.2,0.5,0.005,0.99,-7.095828355482448
0.1,0.2,0.5,0.005,0.95,-5.713506279392655
0.1,0.2,0.5,0.01,0.99,-5.874330569378588
0.1,0.2,0.5,0.01,0.95,-5.228657108670228
0.1,0.2,1.0,0.005,0.99,-6.655197590550049
0.1,0.2,1.0,0.005,0.95,-7.526641304253194
0.1,0.2,1.0,0.01,0.99,-5.271906323438775
0.1,0.2,1.0,0.01,0.95,-5.68657437484963
0.3,0.1,0.5,0.005,0.99,-5.764268835935871
0.3,0.1,0.5,0.005,0.95,-3.2279563917528327
0.3,0.1,0.5,0.01,0.99,-3.581794665280294
0.3,0.1,0.5,0.01,0.95,-5.302541195719864
0.3,0.1,1.0,0.005,0.99,-4.410813907101922
0.3,0.1,1.0,0.005,0.95,-3.4493118276320605
0.3,0.1,1.0,0.01,0.99,-5.522515600780406
0.3,0.1,1.0,0.01,0.95,-4.693334943290917
0.3,0.2,0.5,0.005,0.99,-4.73416798254425
0.3,0.2,0.5,0.005,0.95,-5.343414866445011
0.3,0.2,0.5,0.01,0.99,-4.2698188261633145
0.3,0.2,0.5,0.01,0.95,-6.493453654234119
0.3,0.2,1.0,0.005,0.99,-4.768156606032611
0.3,0.2,1.0,0.005,0.95,-4.83623518074718
0.3,0.2,1.0,0.01,0.99,-4.981931578863084
0.3,0.2,1.0,0.01,0.95,-5.147653068467014
0.5,0.1,0.5,0.005,0.99,-3.0622265599320038
0.5,0.1,0.5,0.005,0.95,-3.250983733864331
0.5,0.1,0.5,0.01,0.99,-3.116953240312062
0.5,0.1,0.5,0.01,0.95,-3.513458761962067
0.5,0.1,1.0,0.005,0.99,-3.6234907106784306
0.5,0.1,1.0,0.005,0.95,-3.2278981321177573
0.5,0.1,1.0,0.01,0.99,-3.6494997393472786
0.5,0.1,1.0,0.01,0.95,-5.275801591520785
0.5,0.2,0.5,0.005,0.99,-5.270783894837247
0.5,0.2,0.5,0.005,0.95,-4.665140028086125
0.5,0.2,0.5,0.01,0.99,-5.139278292827614
0.5,0.2,0.5,0.01,0.95,-5.115924674918696
0.5,0.2,1.0,0.005,0.99,-4.939874480126871
0.5,0.2,1.0,0.005,0.95,-4.9575768687405875
0.5,0.2,1.0,0.01,0.99,-4.728964723710163
0.5,0.2,1.0,0.01,0.95,-7.129245101282862
